,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner,event,match_id,innings_number,updated_venue,update_city
1399,1197524B,2019,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,Netherlands,25,1,66,1,43,1,134,3,Nepal,field,Al Amarat,Nepal,Oman Pentangular T20I Series,1197524,B,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
1400,531636A,2012,Dubai International Cricket Stadium,England,Pakistan,46,1,78,2,26,2,150,5,England,bat,,England,Pakistan v England T20I Series,531636,A,Dubai International Cricket Stadium,-
1400,531636B,2012,Dubai International Cricket Stadium,Pakistan,England,33,4,67,3,12,3,112,10,England,bat,,England,Pakistan v England T20I Series,531636,B,Dubai International Cricket Stadium,-
1401,902649A,2015,Dubai International Cricket Stadium,England,Pakistan,40,3,73,1,47,1,160,5,England,bat,,England,Pakistan v England T20I Series,902649,A,Dubai International Cricket Stadium,-
1401,902649B,2015,Dubai International Cricket Stadium,Pakistan,England,32,3,82,5,32,2,146,10,England,bat,,England,Pakistan v England T20I Series,902649,B,Dubai International Cricket Stadium,-
1402,883343A,2015,VRA Ground,Netherlands,Nepal,42,1,81,0,49,3,172,4,Nepal,field,Amstelveen,Netherlands,Nepal in Netherlands T20I Series,883343,A,VRA Ground,Amstelveen
1402,883343B,2015,VRA Ground,Nepal,Netherlands,29,3,29,5,11,1,69,9,Nepal,field,Amstelveen,Netherlands,Nepal in Netherlands T20I Series,883343,B,VRA Ground,Amstelveen
1403,1199521A,2019,Tolerance Oval,Nigeria,Oman,22,0,34,5,15,4,71,9,Nigeria,bat,Abu Dhabi,Oman,ICC Men's T20 World Cup Qualifier,1199521,A,Tolerance Oval,Abu Dhabi
1403,1199521B,2019,Tolerance Oval,Oman,Nigeria,68,2,4,1,0,0,72,3,Nigeria,bat,Abu Dhabi,Oman,ICC Men's T20 World Cup Qualifier,1199521,B,Tolerance Oval,Abu Dhabi
1404,1257948A,2021,Tribhuvan University International Cricket Ground,Nepal,Netherlands,60,1,106,3,40,2,206,6,Nepal,bat,Kirtipur,Netherlands,Nepal Tri-Nation T20I Series,1257948,A,Tribhuvan University International Cricket Ground,Kirtipur
1404,1257948B,2021,Tribhuvan University International Cricket Ground,Netherlands,Nepal,71,1,83,2,55,3,209,6,Nepal,bat,Kirtipur,Netherlands,Nepal Tri-Nation T20I Series,1257948,B,Tribhuvan University International Cricket Ground,Kirtipur
1405,1327505A,2022,Rajiv Gandhi International Stadium,Australia,India,66,2,68,4,52,1,186,7,India,field,Hyderabad,India,Australia tour of India,1327505,A,Rajiv Gandhi International Stadium,Hyderabad
1405,1327505B,2022,Rajiv Gandhi International Stadium,India,Australia,50,2,98,1,39,1,187,4,India,field,Hyderabad,India,Australia tour of India,1327505,B,Rajiv Gandhi International Stadium,Hyderabad
1406,1199535A,2019,Dubai International Cricket Stadium,Namibia,Singapore,52,2,97,2,42,3,191,7,Singapore,field,Dubai,Namibia,ICC Men's T20 World Cup Qualifier,1199535,A,Dubai International Cricket Stadium,Dubai
1406,1199535B,2019,Dubai International Cricket Stadium,Singapore,Namibia,45,4,54,5,5,1,104,10,Singapore,field,Dubai,Namibia,ICC Men's T20 World Cup Qualifier,1199535,B,Dubai International Cricket Stadium,Dubai
1407,1327277A,2022,Dubai International Cricket Stadium,India,Sri Lanka,44,1,91,2,38,4,173,7,Sri Lanka,field,Dubai,Sri Lanka,Asia Cup,1327277,A,Dubai International Cricket Stadium,Dubai
1407,1327277B,2022,Dubai International Cricket Stadium,Sri Lanka,India,57,0,75,3,42,0,174,3,Sri Lanka,field,Dubai,Sri Lanka,Asia Cup,1327277,B,Dubai International Cricket Stadium,Dubai
1408,1299566A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,Oman,30,2,51,4,36,2,117,8,Oman,field,Al Amarat,Nepal,ICC Men’s T20 World Cup Qualifier A,1299566,A,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
1408,1299566B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Nepal,25,3,49,4,4,2,78,9,Oman,field,Al Amarat,Nepal,ICC Men’s T20 World Cup Qualifier A,1299566,B,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
1409,1299572A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,Germany,57,0,88,2,46,3,191,5,United Arab Emirates,bat,Al Amarat,United Arab Emirates,ICC Men's T20 World Cup Qualifier A,1299572,A,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
1409,1299572B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Germany,United Arab Emirates,44,1,81,4,42,4,167,9,United Arab Emirates,bat,Al Amarat,United Arab Emirates,ICC Men's T20 World Cup Qualifier A,1299572,B,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
1410,1303316A,2022,County Ground,South Africa,Ireland,42,1,86,3,54,2,182,6,Ireland,field,Bristol,South Africa,South Africa tour of England,1303316,A,County Ground,Bristol
1410,1303316B,2022,County Ground,Ireland,South Africa,40,3,73,5,25,1,138,9,Ireland,field,Bristol,South Africa,South Africa tour of England,1303316,B,County Ground,Bristol
1411,1202008A,2019,Kinrara Academy Oval,Vanuatu,Malaysia,60,1,97,1,31,3,188,5,Vanuatu,bat,Kuala Lumpur,Vanuatu,Vanuatu tour of Malaysia,1202008,A,Kinrara Academy Oval,Kuala Lumpur
1411,1202008B,2019,Kinrara Academy Oval,Malaysia,Vanuatu,40,1,70,5,27,1,137,7,Vanuatu,bat,Kuala Lumpur,Vanuatu,Vanuatu tour of Malaysia,1202008,B,Kinrara Academy Oval,Kuala Lumpur
1412,1298136A,2022,GMHBA Stadium,United Arab Emirates,Netherlands,31,0,60,3,20,5,111,8,United Arab Emirates,bat,Geelong,Netherlands,ICC Men's T20 World Cup,1298136,A,GMHBA Stadium,Geelong
1412,1298136B,2022,GMHBA Stadium,Netherlands,United Arab Emirates,42,2,44,3,26,1,112,6,United Arab Emirates,bat,Geelong,Netherlands,ICC Men's T20 World Cup,1298136,B,GMHBA Stadium,Geelong
1413,287873A,2007,Kingsmead,India,England,41,0,107,2,70,2,218,4,India,bat,Durban,India,ICC World Twenty20,287873,A,Kingsmead,Durban
1413,287873B,2007,Kingsmead,England,India,57,1,94,2,49,3,200,6,India,bat,Durban,India,ICC World Twenty20,287873,B,Kingsmead,Durban
1414,951359A,2016,Eden Gardens,New Zealand,Bangladesh,39,1,66,3,40,4,145,8,New Zealand,bat,Kolkata,New Zealand,World T20,951359,A,Eden Gardens,Kolkata
1414,951359B,2016,Eden Gardens,Bangladesh,New Zealand,30,2,40,7,0,0,70,9,New Zealand,bat,Kolkata,New Zealand,World T20,951359,B,Eden Gardens,Kolkata
1415,287867A,2007,Newlands,South Africa,England,43,3,61,3,50,2,154,8,England,field,Cape Town,South Africa,ICC World Twenty20,287867,A,Newlands,Cape Town
1415,287867B,2007,Newlands,England,South Africa,31,3,76,2,28,2,135,7,England,field,Cape Town,South Africa,ICC World Twenty20,287867,B,Newlands,Cape Town
1416,995469A,2016,R Premadasa Stadium,Sri Lanka,Australia,46,2,53,4,29,2,128,8,Sri Lanka,bat,Colombo,Australia,Australia in Sri Lanka T20I Series,995469,A,R Premadasa Stadium,Colombo
1416,995469B,2016,R Premadasa Stadium,Australia,Sri Lanka,75,0,41,4,14,1,130,5,Sri Lanka,bat,Colombo,Australia,Australia in Sri Lanka T20I Series,995469,B,R Premadasa Stadium,Colombo
1417,951365A,2016,Vidarbha Cricket Association Stadium,Afghanistan,West Indies,33,2,56,3,34,2,123,7,West Indies,field,Nagpur,Afghanistan,World T20,951365,A,Vidarbha Cricket Association Stadium,Nagpur
1417,951365B,2016,Vidarbha Cricket Association Stadium,West Indies,Afghanistan,34,2,55,2,28,3,117,7,West Indies,field,Nagpur,Afghanistan,World T20,951365,B,Vidarbha Cricket Association Stadium,Nagpur
1418,1273752A,2021,Sharjah Cricket Stadium,Pakistan,Scotland,35,0,89,2,65,1,189,3,Pakistan,bat,Sharjah,Pakistan,ICC Men's T20 World Cup,1273752,A,Sharjah Cricket Stadium,Sharjah
1418,1273752B,2021,Sharjah Cricket Stadium,Scotland,Pakistan,24,1,63,4,30,1,117,6,Pakistan,bat,Sharjah,Pakistan,ICC Men's T20 World Cup,1273752,B,Sharjah Cricket Stadium,Sharjah
1419,1273746A,2021,Zayed Cricket Stadium,Sri Lanka,West Indies,48,1,89,1,52,1,189,3,West Indies,field,Abu Dhabi,Sri Lanka,ICC Men's T20 World Cup,1273746,A,Zayed Cricket Stadium,Abu Dhabi
1419,1273746B,2021,Zayed Cricket Stadium,West Indies,Sri Lanka,52,3,72,4,45,1,169,8,West Indies,field,Abu Dhabi,Sri Lanka,ICC Men's T20 World Cup,1273746,B,Zayed Cricket Stadium,Abu Dhabi
1420,661697A,2014,Westpac Stadium,West Indies,New Zealand,37,2,83,2,39,1,159,5,West Indies,bat,Wellington,New Zealand,West Indies in New Zealand T20I Series,661697,A,Westpac Stadium,Wellington
1420,661697B,2014,Westpac Stadium,New Zealand,West Indies,53,2,77,2,33,1,163,5,West Indies,bat,Wellington,New Zealand,West Indies in New Zealand T20I Series,661697,B,Westpac Stadium,Wellington
1421,951371A,2016,Wankhede Stadium,India,West Indies,55,0,78,1,59,0,192,1,West Indies,field,Mumbai,West Indies,World T20,951371,A,Wankhede Stadium,Mumbai
1421,951371B,2016,Wankhede Stadium,West Indies,India,44,2,107,1,45,0,196,3,West Indies,field,Mumbai,West Indies,World T20,951371,B,Wankhede Stadium,Mumbai
1422,1213059A,2020,Gaddafi Stadium,Bangladesh,Pakistan,33,2,69,1,34,2,136,5,Bangladesh,bat,Lahore,Pakistan,Bangladesh tour of Pakistan,1213059,A,Gaddafi Stadium,Lahore
1422,1213059B,2020,Gaddafi Stadium,Pakistan,Bangladesh,36,1,98,0,3,0,137,1,Bangladesh,bat,Lahore,Pakistan,Bangladesh tour of Pakistan,1213059,B,Gaddafi Stadium,Lahore
1423,1282740A,2021,Desert Springs Cricket Ground,Denmark,Germany,28,2,51,3,31,1,110,6,Denmark,bat,Almeria,Germany,ICC Men's T20 World Cup Europe Region Qualifier,1282740,A,Desert Springs Cricket Ground,Almeria
1423,1282740B,2021,Desert Springs Cricket Ground,Germany,Denmark,25,1,65,2,22,1,112,4,Denmark,bat,Almeria,Germany,ICC Men's T20 World Cup Europe Region Qualifier,1282740,B,Desert Springs Cricket Ground,Almeria
1424,1040485A,2017,Greater Noida Sports Complex Ground,Ireland,Afghanistan,48,1,75,3,42,1,165,5,Ireland,bat,Greater Noida,Afghanistan,Afghanistan v Ireland T20I Series,1040485,A,Greater Noida Sports Complex Ground,Greater Noida
1424,1040485B,2017,Greater Noida Sports Complex Ground,Afghanistan,Ireland,66,1,93,1,12,2,171,4,Ireland,bat,Greater Noida,Afghanistan,Afghanistan v Ireland T20I Series,1040485,B,Greater Noida Sports Complex Ground,Greater Noida
1425,682929A,2014,Shere Bangla National Stadium,West Indies,India,24,0,59,3,46,3,129,6,India,field,Mirpur,India,World T20,682929,A,Shere Bangla National Stadium,Dhaka
1425,682929B,2014,Shere Bangla National Stadium,India,West Indies,48,0,65,1,17,1,130,2,India,field,Mirpur,India,World T20,682929,B,Shere Bangla National Stadium,Dhaka
1426,543883A,2012,Mombasa Sports Club Ground,Kenya,Ireland,29,2,60,4,18,3,107,9,Ireland,field,,Ireland,Ireland in Kenya T20I Series,543883,A,Mombasa Sports Club Ground,-
1426,543883B,2012,Mombasa Sports Club Ground,Ireland,Kenya,41,3,68,1,0,0,109,4,Ireland,field,,Ireland,Ireland in Kenya T20I Series,543883,B,Mombasa Sports Club Ground,-
1427,682901A,2014,Sylhet Stadium,Zimbabwe,Ireland,56,1,73,3,34,1,163,5,Ireland,field,,Ireland,World T20,682901,A,Sylhet Stadium,-
1427,682901B,2014,Sylhet Stadium,Ireland,Zimbabwe,61,0,76,4,27,3,164,7,Ireland,field,,Ireland,World T20,682901,B,Sylhet Stadium,-
1428,868725A,2015,Gaddafi Stadium,Zimbabwe,Pakistan,50,0,82,1,43,2,175,3,Zimbabwe,bat,Lahore,Pakistan,Zimbabwe in Pakistan T20I Series,868725,A,Gaddafi Stadium,Lahore
1428,868725B,2015,Gaddafi Stadium,Pakistan,Zimbabwe,47,1,97,4,32,2,176,7,Zimbabwe,bat,Lahore,Pakistan,Zimbabwe in Pakistan T20I Series,868725,B,Gaddafi Stadium,Lahore
1429,1299638A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,Nepal,60,1,88,1,44,1,192,3,Nepal,field,Al Amarat,United Arab Emirates,Oman Quadrangular T20I Series,1299638,A,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
1429,1299638B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,United Arab Emirates,53,1,76,2,38,2,167,5,Nepal,field,Al Amarat,United Arab Emirates,Oman Quadrangular T20I Series,1299638,B,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
1430,1215164A,2020,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),United Arab Emirates,Qatar,51,1,57,3,14,2,122,6,United Arab Emirates,bat,Al Amarat,United Arab Emirates,ACC Western Region T20,1215164,A,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat
1430,1215164B,2020,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Qatar,United Arab Emirates,18,2,50,4,26,3,94,9,United Arab Emirates,bat,Al Amarat,United Arab Emirates,ACC Western Region T20,1215164,B,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat
1431,682915A,2014,Zahur Ahmed Chowdhury Stadium,Bangladesh,Hong Kong,51,2,56,6,1,1,108,9,Hong Kong,field,Chittagong,Hong Kong,World T20,682915,A,Zahur Ahmed Chowdhury Stadium,Chattogram
1431,682915B,2014,Zahur Ahmed Chowdhury Stadium,Hong Kong,Bangladesh,36,1,47,3,31,1,114,5,Hong Kong,field,Chittagong,Hong Kong,World T20,682915,B,Zahur Ahmed Chowdhury Stadium,Chattogram
1432,636536A,2014,Kensington Oval,West Indies,England,56,0,66,2,48,0,170,2,West Indies,bat,Barbados,West Indies,England in West Indies T20I Series,636536,A,Kensington Oval,Bridgetown
1432,636536B,2014,Kensington Oval,England,West Indies,36,2,71,5,36,2,143,9,West Indies,bat,Barbados,West Indies,England in West Indies T20I Series,636536,B,Kensington Oval,Bridgetown
1433,1142916A,2018,Harare Sports Club,Zimbabwe,Pakistan,46,0,82,2,34,2,162,4,Pakistan,field,,Pakistan,Zimbabwe Twenty20 Tri-Series,1142916,A,Harare Sports Club,-
1433,1142916B,2018,Harare Sports Club,Pakistan,Zimbabwe,56,0,75,2,32,1,163,3,Pakistan,field,,Pakistan,Zimbabwe Twenty20 Tri-Series,1142916,B,Harare Sports Club,-
1434,682939A,2014,Zahur Ahmed Chowdhury Stadium,Sri Lanka,England,42,1,101,0,46,3,189,4,England,field,Chittagong,England,World T20,682939,A,Zahur Ahmed Chowdhury Stadium,Chattogram
1434,682939B,2014,Zahur Ahmed Chowdhury Stadium,England,Sri Lanka,37,2,114,0,39,2,190,4,England,field,Chittagong,England,World T20,682939,B,Zahur Ahmed Chowdhury Stadium,Chattogram
1435,682911A,2014,Sylhet Stadium,United Arab Emirates,Ireland,46,1,48,4,29,1,123,6,Ireland,field,,Ireland,World T20,682911,A,Sylhet Stadium,-
1435,682911B,2014,Sylhet Stadium,Ireland,United Arab Emirates,51,1,52,3,0,0,103,4,Ireland,field,,Ireland,World T20,682911,B,Sylhet Stadium,-
1436,1201673A,2019,La Manga Club Bottom Ground,Gibraltar,Spain,36,2,40,4,19,3,95,9,Spain,field,Murcia,Spain,Iberia Cup,1201673,A,La Manga Club Bottom Ground,Murcia
1436,1201673B,2019,La Manga Club Bottom Ground,Spain,Gibraltar,26,1,70,2,0,0,96,3,Spain,field,Murcia,Spain,Iberia Cup,1201673,B,La Manga Club Bottom Ground,Murcia
1437,1215160A,2020,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),United Arab Emirates,Saudi Arabia,54,1,84,3,12,5,150,9,United Arab Emirates,bat,Al Amarat,United Arab Emirates,ACC Western Region T20,1215160,A,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat
1437,1215160B,2020,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Saudi Arabia,United Arab Emirates,44,1,61,3,33,3,138,7,United Arab Emirates,bat,Al Amarat,United Arab Emirates,ACC Western Region T20,1215160,B,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat
1438,356009A,2009,Lord's,Sri Lanka,Ireland,28,2,83,1,33,5,144,8,Sri Lanka,bat,London,Sri Lanka,ICC World Twenty20,356009,A,Lord's,London
1438,356009B,2009,Lord's,Ireland,Sri Lanka,37,0,57,4,41,3,135,7,Sri Lanka,bat,London,Sri Lanka,ICC World Twenty20,356009,B,Lord's,London
1439,556252A,2012,New Wanderers Stadium,South Africa,India,55,1,93,1,71,2,219,4,India,field,Johannesburg,South Africa,,556252,A,New Wanderers Stadium,Johannesburg
1439,556252B,2012,New Wanderers Stadium,India,South Africa,51,0,20,0,0,0,71,0,India,field,Johannesburg,South Africa,,556252,B,New Wanderers Stadium,Johannesburg
1440,682905A,2014,Zahur Ahmed Chowdhury Stadium,Hong Kong,Afghanistan,46,1,70,2,37,4,153,7,Hong Kong,bat,Chittagong,Afghanistan,World T20,682905,A,Zahur Ahmed Chowdhury Stadium,Chattogram
1440,682905B,2014,Zahur Ahmed Chowdhury Stadium,Afghanistan,Hong Kong,38,1,81,2,35,0,154,3,Hong Kong,bat,Chittagong,Afghanistan,World T20,682905,B,Zahur Ahmed Chowdhury Stadium,Chattogram
1441,954741A,2016,Sheikh Zayed Stadium,Ireland,United Arab Emirates,20,4,70,3,44,0,134,7,United Arab Emirates,field,Abu Dhabi,Ireland,Ireland in United Arab Emirates T20I Series,954741,A,Sheikh Zayed Stadium,Abu Dhabi
1441,954741B,2016,Sheikh Zayed Stadium,United Arab Emirates,Ireland,31,4,50,3,19,2,100,9,United Arab Emirates,field,Abu Dhabi,Ireland,Ireland in United Arab Emirates T20I Series,954741,B,Sheikh Zayed Stadium,Abu Dhabi
1442,1332508A,2022,Willowmoore Park,Kenya,Uganda,20,2,72,2,13,4,105,8,Uganda,field,Benoni,Uganda,Africa Cricket Association Cup,1332508,A,Willowmoore Park,Benoni
1442,1332508B,2022,Willowmoore Park,Uganda,Kenya,36,2,47,1,24,2,107,5,Uganda,field,Benoni,Uganda,Africa Cricket Association Cup,1332508,B,Willowmoore Park,Benoni
1443,1299833A,2022,Shere Bangla National Stadium,Bangladesh,Afghanistan,33,2,66,2,16,4,115,8,Bangladesh,bat,Dhaka,Afghanistan,Afghanistan tour of Bangladesh,1299833,A,Shere Bangla National Stadium,Dhaka
1443,1299833B,2022,Shere Bangla National Stadium,Afghanistan,Bangladesh,34,1,71,1,16,0,121,2,Bangladesh,bat,Dhaka,Afghanistan,Afghanistan tour of Bangladesh,1299833,B,Shere Bangla National Stadium,Dhaka
1444,571148A,2012,Dubai International Cricket Stadium,Australia,Pakistan,32,1,42,4,15,4,89,9,Pakistan,field,,Pakistan,Pakistan v Australia T20I Series,571148,A,Dubai International Cricket Stadium,-
1444,571148B,2012,Dubai International Cricket Stadium,Pakistan,Australia,38,1,52,2,0,0,90,3,Pakistan,field,,Pakistan,Pakistan v Australia T20I Series,571148,B,Dubai International Cricket Stadium,-
1445,1282744A,2021,Desert Springs Cricket Ground,Italy,Denmark,48,0,62,1,31,3,141,4,Denmark,field,Almeria,Italy,ICC Men's T20 World Cup Europe Region Qualifier,1282744,A,Desert Springs Cricket Ground,Almeria
1445,1282744B,2021,Desert Springs Cricket Ground,Denmark,Italy,30,1,57,4,45,4,132,9,Denmark,field,Almeria,Italy,ICC Men's T20 World Cup Europe Region Qualifier,1282744,B,Desert Springs Cricket Ground,Almeria
1446,439497A,2010,Dubai International Cricket Stadium,Canada,Netherlands,53,2,66,3,23,3,142,8,Canada,bat,,Netherlands,ICC World Twenty20 Qualifier,439497,A,Dubai International Cricket Stadium,-
1446,439497B,2010,Dubai International Cricket Stadium,Netherlands,Canada,57,1,62,2,27,1,146,4,Canada,bat,,Netherlands,ICC World Twenty20 Qualifier,439497,B,Dubai International Cricket Stadium,-
1447,1284490A,2021,West End Park International Cricket Stadium,Bahrain,Kuwait,50,3,42,4,32,0,124,7,Kuwait,field,Doha,Kuwait,ICC Men's T20 World Cup Asia A Qualifier,1284490,A,West End Park International Cricket Stadium,Doha
1447,1284490B,2021,West End Park International Cricket Stadium,Kuwait,Bahrain,78,1,51,3,0,0,129,4,Kuwait,field,Doha,Kuwait,ICC Men's T20 World Cup Asia A Qualifier,1284490,B,West End Park International Cricket Stadium,Doha
1448,951349A,2016,Punjab Cricket Association IS Bindra Stadium,New Zealand,Pakistan,55,0,80,4,45,1,180,5,New Zealand,bat,Chandigarh,New Zealand,World T20,951349,A,Punjab Cricket Association IS Bindra Stadium,Chandigarh
1448,951349B,2016,Punjab Cricket Association IS Bindra Stadium,Pakistan,New Zealand,66,1,63,3,29,1,158,5,New Zealand,bat,Chandigarh,New Zealand,World T20,951349,B,Punjab Cricket Association IS Bindra Stadium,Chandigarh
1449,287863A,2007,New Wanderers Stadium,New Zealand,Sri Lanka,38,2,90,2,36,2,164,6,New Zealand,bat,Johannesburg,Sri Lanka,ICC World Twenty20,287863,A,New Wanderers Stadium,Johannesburg
1449,287863B,2007,New Wanderers Stadium,Sri Lanka,New Zealand,60,0,87,2,21,1,168,3,New Zealand,bat,Johannesburg,Sri Lanka,ICC World Twenty20,287863,B,New Wanderers Stadium,Johannesburg
1450,287877A,2007,Newlands,New Zealand,Pakistan,41,0,65,5,37,2,143,7,New Zealand,bat,Cape Town,Pakistan,ICC World Twenty20,287877,A,Newlands,Cape Town
1450,287877B,2007,Newlands,Pakistan,New Zealand,54,0,65,2,28,0,147,2,New Zealand,bat,Cape Town,Pakistan,ICC World Twenty20,287877,B,Newlands,Cape Town
1451,1273742A,2021,Zayed Cricket Stadium,Pakistan,Namibia,29,0,98,2,62,0,189,2,Pakistan,bat,Abu Dhabi,Pakistan,ICC Men's T20 World Cup,1273742,A,Zayed Cricket Stadium,Abu Dhabi
1451,1273742B,2021,Zayed Cricket Stadium,Namibia,Pakistan,34,1,73,3,37,1,144,5,Pakistan,bat,Abu Dhabi,Pakistan,ICC Men's T20 World Cup,1273742,B,Zayed Cricket Stadium,Abu Dhabi
1452,1273756A,2021,Dubai International Cricket Stadium,New Zealand,Australia,32,1,104,1,36,2,172,4,Australia,field,Dubai,Australia,ICC Men's T20 World Cup,1273756,A,Dubai International Cricket Stadium,Dubai
1452,1273756B,2021,Dubai International Cricket Stadium,Australia,New Zealand,43,1,106,1,24,0,173,2,Australia,field,Dubai,Australia,ICC Men's T20 World Cup,1273756,B,Dubai International Cricket Stadium,Dubai
1453,951361A,2016,Feroz Shah Kotla,England,Sri Lanka,38,0,79,1,54,1,171,2,Sri Lanka,field,Delhi,England,World T20,951361,A,Feroz Shah Kotla,Delhi
1453,951361B,2016,Feroz Shah Kotla,Sri Lanka,England,34,4,98,1,29,3,161,8,Sri Lanka,field,Delhi,England,World T20,951361,B,Feroz Shah Kotla,Delhi
1454,1299576A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Canada,Nepal,39,4,41,4,0,0,80,8,Canada,bat,Al Amarat,Nepal,ICC Men's T20 World Cup Qualifier A,1299576,A,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
1454,1299576B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,Canada,31,1,50,0,0,0,81,1,Canada,bat,Al Amarat,Nepal,ICC Men's T20 World Cup Qualifier A,1299576,B,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat
1455,1223954A,2020,Sydney Cricket Ground,Australia,India,51,1,94,1,41,2,186,4,India,field,Sydney,Australia,India tour of Australia,1223954,A,Sydney Cricket Ground,Sydney
1455,1223954B,2020,Sydney Cricket Ground,India,Australia,55,1,76,2,43,3,174,6,India,field,Sydney,Australia,India tour of Australia,1223954,B,Sydney Cricket Ground,Sydney
1456,489220A,2011,Queen's Park Oval,India,West Indies,46,1,56,3,57,2,159,6,West Indies,field,Trinidad,India,,489220,A,Queen's Park Oval,Trinidad
1456,489220B,2011,Queen's Park Oval,West Indies,India,31,2,61,2,51,1,143,5,West Indies,field,Trinidad,India,,489220,B,Queen's Park Oval,Trinidad
