,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner,event,match_id,innings_number
913,1298142A,2022,Bellerive Oval,West Indies,Zimbabwe,49,1,64,4,40,1,153,6,West Indies,bat,Hobart,West Indies,ICC Men's T20 World Cup,1298142,A
913,1298142B,2022,Bellerive Oval,Zimbabwe,West Indies,55,3,48,4,19,2,122,9,West Indies,bat,Hobart,West Indies,ICC Men's T20 World Cup,1298142,B
914,412689A,2010,Kensington Oval,Pakistan,England,44,1,68,4,35,4,147,9,England,field,Barbados,England,ICC World Twenty20,412689,A
914,412689B,2010,Kensington Oval,England,Pakistan,45,1,80,2,26,1,151,4,England,field,Barbados,England,ICC World Twenty20,412689,B
915,1272376A,2021,Bready Cricket Club,Ireland,Zimbabwe,57,0,85,2,32,2,174,4,Zimbabwe,field,Bready,Ireland,Zimbabwe tour of Ireland and Scotland,1272376,A
915,1272376B,2021,Bready Cricket Club,Zimbabwe,Ireland,32,4,50,3,28,1,110,8,Zimbabwe,field,Bready,Ireland,Zimbabwe tour of Ireland and Scotland,1272376,B
916,951339A,2016,Wankhede Stadium,South Africa,England,83,0,90,3,56,0,229,3,England,field,Mumbai,England,World T20,951339,A
916,951339B,2016,Wankhede Stadium,England,South Africa,89,2,99,2,42,3,230,7,England,field,Mumbai,England,World T20,951339,B
917,1278673A,2021,Eden Gardens,India,New Zealand,69,0,71,5,44,2,184,7,India,bat,Kolkata,India,New Zealand tour of India,1278673,A
917,1278673B,2021,Eden Gardens,New Zealand,India,37,3,58,5,16,2,111,10,India,bat,Kolkata,India,New Zealand tour of India,1278673,B
918,951311A,2016,Himachal Pradesh Cricket Association Stadium,Ireland,Oman,46,0,72,4,36,1,154,5,Ireland,bat,Dharamsala,Oman,World T20,951311,A
918,951311B,2016,Himachal Pradesh Cricket Association Stadium,Oman,Ireland,44,0,68,4,45,3,157,7,Ireland,bat,Dharamsala,Oman,World T20,951311,B
919,1273726A,2021,Sharjah Cricket Stadium,Bangladesh,Sri Lanka,41,1,88,1,42,2,171,4,Sri Lanka,field,Sharjah,Sri Lanka,ICC Men's T20 World Cup,1273726,A
919,1273726B,2021,Sharjah Cricket Stadium,Sri Lanka,Bangladesh,54,1,94,3,24,1,172,5,Sri Lanka,field,Sharjah,Sri Lanka,ICC Men's T20 World Cup,1273726,B
920,1233464A,2020,Rawalpindi Cricket Stadium,Zimbabwe,Pakistan,42,1,78,2,36,2,156,5,Zimbabwe,bat,,Pakistan,Zimbabwe tour of Pakistan,1233464,A
920,1233464B,2020,Rawalpindi Cricket Stadium,Pakistan,Zimbabwe,52,1,84,1,21,2,157,4,Zimbabwe,bat,,Pakistan,Zimbabwe tour of Pakistan,1233464,B
921,1146725A,2018,Central Broward Regional Park Stadium Turf Ground,Bangladesh,West Indies,71,2,75,3,38,0,184,5,Bangladesh,bat,Lauderhill,Bangladesh,Bangladesh tour of West Indies and United States of America,1146725,A
921,1146725B,2018,Central Broward Regional Park Stadium Turf Ground,West Indies,Bangladesh,32,3,89,2,14,2,135,7,Bangladesh,bat,Lauderhill,Bangladesh,Bangladesh tour of West Indies and United States of America,1146725,B
922,1273732A,2021,Zayed Cricket Stadium,Scotland,Namibia,22,2,70,1,17,3,109,6,Namibia,field,Abu Dhabi,Namibia,ICC Men's T20 World Cup,1273732,A
922,1273732B,2021,Zayed Cricket Stadium,Namibia,Scotland,29,1,64,3,22,2,115,6,Namibia,field,Abu Dhabi,Namibia,ICC Men's T20 World Cup,1273732,B
923,951305A,2016,Vidarbha Cricket Association Stadium,Zimbabwe,Hong Kong,53,2,70,2,35,3,158,7,Hong Kong,field,Nagpur,Zimbabwe,ICC World Twenty20,951305,A
923,951305B,2016,Vidarbha Cricket Association Stadium,Hong Kong,Zimbabwe,24,1,82,1,38,3,144,5,Hong Kong,field,Nagpur,Zimbabwe,ICC World Twenty20,951305,B
924,355996A,2009,Kennington Oval,England,Pakistan,63,2,89,1,33,2,185,5,Pakistan,field,London,England,ICC World Twenty20,355996,A
924,355996B,2009,Kennington Oval,Pakistan,England,41,3,67,2,29,2,137,7,Pakistan,field,London,England,ICC World Twenty20,355996,B
925,1251578A,2021,SuperSport Park,South Africa,Pakistan,53,0,70,6,21,3,144,9,Pakistan,field,Centurion,Pakistan,Pakistan tour of South Africa,1251578,A
925,1251578B,2021,SuperSport Park,Pakistan,South Africa,57,1,60,5,32,1,149,7,Pakistan,field,Centurion,Pakistan,Pakistan tour of South Africa,1251578,B
926,1072319A,2018,Westpac Stadium,New Zealand,England,50,1,104,2,42,2,196,5,England,field,Wellington,New Zealand,Trans-Tasman Twenty20 Trophy,1072319,A
926,1072319B,2018,Westpac Stadium,England,New Zealand,60,1,89,4,35,4,184,9,England,field,Wellington,New Zealand,Trans-Tasman Twenty20 Trophy,1072319,B
927,1252059A,2021,Sheikh Zayed Stadium,Afghanistan,Zimbabwe,49,1,97,2,47,2,193,5,Afghanistan,bat,Abu Dhabi,Afghanistan,Zimbabwe tour of United Arab Emirates,1252059,A
927,1252059B,2021,Sheikh Zayed Stadium,Zimbabwe,Afghanistan,54,3,87,1,7,4,148,8,Afghanistan,bat,Abu Dhabi,Afghanistan,Zimbabwe tour of United Arab Emirates,1252059,B
928,1034827A,2017,Vidarbha Cricket Association Stadium,India,England,46,1,68,1,30,5,144,7,England,field,Nagpur,India,England in India T20I Series,1034827,A
928,1034827B,2017,Vidarbha Cricket Association Stadium,England,India,36,2,77,1,26,1,139,4,England,field,Nagpur,India,England in India T20I Series,1034827,B
929,1197140A,2019,Shere Bangla National Stadium,Zimbabwe,Bangladesh,48,1,77,4,19,0,144,5,Bangladesh,field,Dhaka,Bangladesh,Bangladesh Twenty20 Tri-Series,1197140,A
929,1197140B,2019,Shere Bangla National Stadium,Bangladesh,Zimbabwe,41,4,89,1,18,1,148,6,Bangladesh,field,Dhaka,Bangladesh,Bangladesh Twenty20 Tri-Series,1197140,B
930,1321276A,2022,Kerava National Cricket Ground,Isle of Man,Turkey,59,1,78,5,34,3,171,9,Isle of Man,bat,Kerava,Isle of Man,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321276,A
930,1321276B,2022,Kerava National Cricket Ground,Turkey,Isle of Man,14,4,43,2,40,2,97,8,Isle of Man,bat,Kerava,Isle of Man,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321276,B
931,1145984A,2018,Rajiv Gandhi International Cricket Stadium,Afghanistan,Bangladesh,43,0,66,3,36,2,145,5,Afghanistan,bat,Dehradun,Afghanistan,Afghanistan tour of India,1145984,A
931,1145984B,2018,Rajiv Gandhi International Cricket Stadium,Bangladesh,Afghanistan,35,3,63,1,46,2,144,6,Afghanistan,bat,Dehradun,Afghanistan,Afghanistan tour of India,1145984,B
932,1317908A,2022,Sabina Park,New Zealand,West Indies,52,0,85,3,48,2,185,5,West Indies,field,Kingston,New Zealand,New Zealand tour of West Indies,1317908,A
932,1317908B,2022,Sabina Park,West Indies,New Zealand,45,2,69,4,58,0,172,6,West Indies,field,Kingston,New Zealand,New Zealand tour of West Indies,1317908,B
933,1321262A,2022,Kerava National Cricket Ground,Croatia,Sweden,18,0,42,7,9,3,69,10,Sweden,field,Kerava,Sweden,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321262,A
933,1321262B,2022,Kerava National Cricket Ground,Sweden,Croatia,43,1,27,1,0,0,70,2,Sweden,field,Kerava,Sweden,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321262,B
934,1310901A,2022,Sportpark Westvliet,New Zealand,Netherlands,33,2,67,3,48,2,148,7,New Zealand,bat,The Hague,New Zealand,New Zealand tour of Netherlands,1310901,A
934,1310901B,2022,Sportpark Westvliet,Netherlands,New Zealand,30,3,63,4,39,3,132,10,New Zealand,bat,The Hague,New Zealand,New Zealand tour of Netherlands,1310901,B
935,657635A,2013,Dubai International Cricket Stadium,Sri Lanka,Pakistan,52,0,108,2,51,1,211,3,Pakistan,field,,Sri Lanka,Pakistan v Sri Lanka T20I Series,657635,A
935,657635B,2013,Dubai International Cricket Stadium,Pakistan,Sri Lanka,40,2,111,6,36,1,187,9,Pakistan,field,,Sri Lanka,Pakistan v Sri Lanka T20I Series,657635,B
936,1215138A,2020,Kinrara Academy Oval,Malaysia,Hong Kong,33,0,92,3,27,5,152,8,Malaysia,bat,Kuala Lumpur,Malaysia,Hong Kong tour of Malaysia,1215138,A
936,1215138B,2020,Kinrara Academy Oval,Hong Kong,Malaysia,28,1,77,1,39,3,144,5,Malaysia,bat,Kuala Lumpur,Malaysia,Hong Kong tour of Malaysia,1215138,B
937,1321289A,2022,Tikkurila Cricket Ground,Guernsey,Austria,55,0,55,6,29,0,139,6,Guernsey,bat,Vantaa,Austria,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321289,A
937,1321289B,2022,Tikkurila Cricket Ground,Austria,Guernsey,62,2,52,4,27,2,141,8,Guernsey,bat,Vantaa,Austria,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321289,B
938,682949A,2014,Shere Bangla National Stadium,Pakistan,Bangladesh,50,1,96,2,44,2,190,5,Pakistan,bat,Mirpur,Pakistan,World T20,682949,A
938,682949B,2014,Shere Bangla National Stadium,Bangladesh,Pakistan,36,2,64,2,40,2,140,6,Pakistan,bat,Mirpur,Pakistan,World T20,682949,B
939,473920A,2010,AMI Stadium,Pakistan,New Zealand,64,0,67,3,52,2,183,5,Pakistan,bat,Christchurch,Pakistan,Pakistan in New Zealand T20I Series,473920,A
939,473920B,2010,AMI Stadium,New Zealand,Pakistan,17,4,63,4,0,0,80,8,Pakistan,bat,Christchurch,Pakistan,Pakistan in New Zealand T20I Series,473920,B
940,1282278A,2021,Marsa Sports Club,Gibraltar,Bulgaria,73,0,85,3,19,6,177,9,Gibraltar,bat,Marsa,Bulgaria,Valletta Cup,1282278,A
940,1282278B,2021,Marsa Sports Club,Bulgaria,Gibraltar,49,1,87,2,42,0,178,3,Gibraltar,bat,Marsa,Bulgaria,Valletta Cup,1282278,B
941,682961A,2014,Shere Bangla National Stadium,Sri Lanka,West Indies,48,2,64,2,48,2,160,6,Sri Lanka,bat,Mirpur,Sri Lanka,World T20,682961,A
941,682961B,2014,Shere Bangla National Stadium,West Indies,Sri Lanka,30,2,50,1,0,0,80,3,Sri Lanka,bat,Mirpur,Sri Lanka,World T20,682961,B
942,1153843A,2019,Eden Park,New Zealand,Sri Lanka,33,4,82,2,64,1,179,7,Sri Lanka,field,Auckland,New Zealand,Sri Lanka tour of New Zealand,1153843,A
942,1153843B,2019,Eden Park,Sri Lanka,New Zealand,61,3,77,4,6,2,144,9,Sri Lanka,field,Auckland,New Zealand,Sri Lanka tour of New Zealand,1153843,B
943,1115800A,2018,Bay Oval,New Zealand,West Indies,63,0,128,2,52,3,243,5,New Zealand,bat,Mount Maunganui,New Zealand,West Indies tour of New Zealand,1115800,A
943,1115800B,2018,Bay Oval,West Indies,New Zealand,73,4,50,3,1,1,124,8,New Zealand,bat,Mount Maunganui,New Zealand,West Indies tour of New Zealand,1115800,B
944,682963A,2014,Shere Bangla National Stadium,South Africa,India,44,2,86,2,42,0,172,4,South Africa,bat,Mirpur,India,World T20,682963,A
944,682963B,2014,Shere Bangla National Stadium,India,South Africa,56,1,77,2,43,1,176,4,South Africa,bat,Mirpur,India,World T20,682963,B
945,592276A,2013,Wanderers Cricket Ground,Netherlands,Kenya,58,3,46,4,9,1,113,8,Kenya,field,Windhoek,Kenya,Twenty20 Quadrangular (in Namibia),592276,A
945,592276B,2013,Wanderers Cricket Ground,Kenya,Netherlands,48,1,66,1,0,0,114,2,Kenya,field,Windhoek,Kenya,Twenty20 Quadrangular (in Namibia),592276,B
946,1193495A,2019,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Afghanistan,West Indies,52,2,52,3,43,0,147,5,Afghanistan,bat,Lucknow,Afghanistan,Afghanistan tour of India,1193495,A
946,1193495B,2019,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,West Indies,Afghanistan,29,1,54,3,23,2,106,6,Afghanistan,bat,Lucknow,Afghanistan,Afghanistan tour of India,1193495,B
947,1321274A,2022,Kerava National Cricket Ground,Cyprus,Serbia,33,3,72,5,20,2,125,10,Cyprus,bat,Kerava,Serbia,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321274,A
947,1321274B,2022,Kerava National Cricket Ground,Serbia,Cyprus,47,2,55,2,24,2,126,6,Cyprus,bat,Kerava,Serbia,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321274,B
948,1321260A,2022,Kerava National Cricket Ground,Romania,Turkey,43,4,70,0,34,1,147,5,Turkey,field,Kerava,Romania,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321260,A
948,1321260B,2022,Kerava National Cricket Ground,Turkey,Romania,15,3,42,3,39,0,96,6,Turkey,field,Kerava,Romania,ICC Men's T20 World Cup Sub Regional Europe Qualifier,1321260,B
949,1157372A,2018,Sheikh Zayed Stadium,Pakistan,Australia,45,1,80,1,30,4,155,6,Australia,field,Abu Dhabi,Pakistan,Australia tour of United Arab Emirates,1157372,A
949,1157372B,2018,Sheikh Zayed Stadium,Australia,Pakistan,26,6,62,3,1,1,89,10,Australia,field,Abu Dhabi,Pakistan,Australia tour of United Arab Emirates,1157372,B
950,1034825A,2017,Green Park,India,England,47,1,70,3,30,2,147,6,England,field,Kanpur,England,England in India T20I Series,1034825,A
950,1034825B,2017,Green Park,England,India,48,2,81,1,19,0,148,3,England,field,Kanpur,England,England in India T20I Series,1034825,B
951,1305498A,2022,Tribhuvan University International Cricket Ground,Nepal,Papua New Guinea,57,1,84,5,42,3,183,9,Papua New Guinea,field,Kirtipur,Nepal,Nepal Tri-Nation T20I Series,1305498,A
951,1305498B,2022,Tribhuvan University International Cricket Ground,Papua New Guinea,Nepal,55,3,80,2,33,2,168,7,Papua New Guinea,field,Kirtipur,Nepal,Nepal Tri-Nation T20I Series,1305498,B
952,1197142A,2019,Shere Bangla National Stadium,Afghanistan,Bangladesh,41,4,78,0,45,2,164,6,Afghanistan,bat,Dhaka,Afghanistan,Bangladesh Twenty20 Tri-Series,1197142,A
952,1197142B,2019,Shere Bangla National Stadium,Bangladesh,Afghanistan,38,3,68,2,33,4,139,9,Afghanistan,bat,Dhaka,Afghanistan,Bangladesh Twenty20 Tri-Series,1197142,B
953,297800A,2007,Brabourne Stadium,Australia,India,58,1,62,3,46,1,166,5,Australia,bat,Mumbai,India,,297800,A
953,297800B,2007,Brabourne Stadium,India,Australia,68,1,75,2,24,0,167,3,Australia,bat,Mumbai,India,,297800,B
954,1197397A,2019,White Hill Field,Canada,Cayman Islands,43,2,108,1,45,2,196,5,Canada,bat,Hamilton,Canada,ICC Men's T20 World Cup Americas Region Final,1197397,A
954,1197397B,2019,White Hill Field,Cayman Islands,Canada,24,4,76,2,12,0,112,6,Canada,bat,Hamilton,Canada,ICC Men's T20 World Cup Americas Region Final,1197397,B
955,355994A,2009,Trent Bridge,India,Bangladesh,54,0,67,2,59,3,180,5,India,bat,Nottingham,India,ICC World Twenty20,355994,A
955,355994B,2009,Trent Bridge,Bangladesh,India,55,2,64,4,36,2,155,8,India,bat,Nottingham,India,ICC World Twenty20,355994,B
956,1252067A,2021,Coolidge Cricket Ground,Sri Lanka,West Indies,56,0,68,4,36,2,160,6,Sri Lanka,bat,Coolidge,Sri Lanka,Sri Lanka tour of West Indies,1252067,A
956,1252067B,2021,Coolidge Cricket Ground,West Indies,Sri Lanka,45,1,47,4,25,3,117,8,Sri Lanka,bat,Coolidge,Sri Lanka,Sri Lanka tour of West Indies,1252067,B
957,1074959A,2017,Sheikh Zayed Stadium,Oman,Netherlands,44,2,55,3,47,1,146,6,Oman,bat,Abu Dhabi,Netherlands,Desert T20 Challenge,1074959,A
957,1074959B,2017,Sheikh Zayed Stadium,Netherlands,Oman,45,2,64,2,39,1,148,5,Oman,bat,Abu Dhabi,Netherlands,Desert T20 Challenge,1074959,B
958,1233466A,2020,Rawalpindi Cricket Stadium,Zimbabwe,Pakistan,39,2,59,5,31,2,129,9,Zimbabwe,bat,,Pakistan,Zimbabwe tour of Pakistan,1233466,A
958,1233466B,2020,Rawalpindi Cricket Stadium,Pakistan,Zimbabwe,36,0,94,2,0,0,130,2,Zimbabwe,bat,,Pakistan,Zimbabwe tour of Pakistan,1233466,B
959,1119545A,2018,County Ground,England,India,73,0,86,4,39,5,198,9,India,field,Bristol,India,India tour of Ireland and England,1119545,A
959,1119545B,2018,County Ground,India,England,70,2,85,1,46,0,201,3,India,field,Bristol,India,India tour of Ireland and England,1119545,B
960,1273724A,2021,Zayed Cricket Stadium,South Africa,Australia,29,3,57,3,32,2,118,8,Australia,field,Abu Dhabi,Australia,ICC Men's T20 World Cup,1273724,A
960,1273724B,2021,Zayed Cricket Stadium,Australia,South Africa,28,2,55,3,38,0,121,5,Australia,field,Abu Dhabi,Australia,ICC Men's T20 World Cup,1273724,B
961,951313A,2016,Vidarbha Cricket Association Stadium,Zimbabwe,Scotland,30,2,84,3,33,2,147,7,Zimbabwe,bat,Nagpur,Zimbabwe,World T20,951313,A
961,951313B,2016,Vidarbha Cricket Association Stadium,Scotland,Zimbabwe,28,4,72,3,36,3,136,10,Zimbabwe,bat,Nagpur,Zimbabwe,World T20,951313,B
962,1278671A,2021,Sawai Mansingh Stadium,New Zealand,India,41,1,89,1,34,3,164,5,India,field,Jaipur,India,New Zealand tour of India,1278671,A
962,1278671B,2021,Sawai Mansingh Stadium,India,New Zealand,56,1,86,1,24,3,166,5,India,field,Jaipur,India,New Zealand tour of India,1278671,B
963,951307A,2016,Vidarbha Cricket Association Stadium,Afghanistan,Scotland,41,1,87,2,42,2,170,5,Afghanistan,bat,Nagpur,Afghanistan,ICC World Twenty20,951307,A
963,951307B,2016,Vidarbha Cricket Association Stadium,Scotland,Afghanistan,60,0,66,3,30,1,156,4,Afghanistan,bat,Nagpur,Afghanistan,ICC World Twenty20,951307,B
964,1273730A,2021,Sharjah Cricket Stadium,New Zealand,Pakistan,42,1,65,3,27,4,134,8,Pakistan,field,Sharjah,Pakistan,ICC Men's T20 World Cup,1273730,A
964,1273730B,2021,Sharjah Cricket Stadium,Pakistan,New Zealand,30,1,68,1,37,0,135,2,Pakistan,field,Sharjah,Pakistan,ICC Men's T20 World Cup,1273730,B
965,1074965A,2017,Dubai International Cricket Stadium,Ireland,United Arab Emirates,43,1,85,4,32,1,160,6,Ireland,bat,,Ireland,Desert T20 Challenge,1074965,A
965,1074965B,2017,Dubai International Cricket Stadium,United Arab Emirates,Ireland,30,4,53,2,53,0,136,6,Ireland,bat,,Ireland,Desert T20 Challenge,1074965,B
966,406198A,2010,Sydney Cricket Ground,West Indies,Australia,35,2,58,4,45,1,138,7,West Indies,bat,,Australia,West Indies in Australia T20I Series,406198,A
966,406198B,2010,Sydney Cricket Ground,Australia,West Indies,83,0,59,2,0,0,142,2,West Indies,bat,,Australia,West Indies in Australia T20I Series,406198,B
967,1273718A,2021,Zayed Cricket Stadium,Netherlands,Namibia,45,1,76,1,43,2,164,4,Namibia,field,Abu Dhabi,Namibia,ICC Men's T20 World Cup,1273718,A
967,1273718B,2021,Zayed Cricket Stadium,Namibia,Netherlands,41,1,94,2,31,1,166,4,Namibia,field,Abu Dhabi,Namibia,ICC Men's T20 World Cup,1273718,B
968,569239A,2013,Westpac Stadium,New Zealand,England,30,1,72,4,37,3,139,8,England,field,Wellington,England,England in New Zealand T20I Series,569239,A
968,569239B,2013,Westpac Stadium,England,New Zealand,60,0,83,0,0,0,143,0,England,field,Wellington,England,England in New Zealand T20I Series,569239,B
969,1074971A,2017,Dubai International Cricket Stadium,Ireland,Afghanistan,41,4,30,5,0,0,71,9,Ireland,bat,,Afghanistan,Desert T20 Challenge,1074971,A
969,1074971B,2017,Dubai International Cricket Stadium,Afghanistan,Ireland,64,0,11,0,0,0,75,0,Ireland,bat,,Afghanistan,Desert T20 Challenge,1074971,B
970,1272374A,2021,Castle Avenue,Zimbabwe,Ireland,39,2,64,2,49,0,152,4,Zimbabwe,bat,Dublin,Ireland,Zimbabwe tour of Ireland and Scotland,1272374,A
970,1272374B,2021,Castle Avenue,Ireland,Zimbabwe,53,0,78,3,22,0,153,3,Zimbabwe,bat,Dublin,Ireland,Zimbabwe tour of Ireland and Scotland,1272374,B
971,623571A,2013,Queens Sports Club,Zimbabwe,Bangladesh,48,1,85,3,35,1,168,5,Zimbabwe,bat,Bulawayo,Zimbabwe,Bangladesh in Zimbabwe T20I Series,623571,A
971,623571B,2013,Queens Sports Club,Bangladesh,Zimbabwe,49,1,81,4,32,2,162,7,Zimbabwe,bat,Bulawayo,Zimbabwe,Bangladesh in Zimbabwe T20I Series,623571,B
972,412700A,2010,Beausejour Stadium,West Indies,Australia,40,2,51,7,14,1,105,10,West Indies,bat,St Lucia,Australia,ICC World Twenty20,412700,A
972,412700B,2010,Beausejour Stadium,Australia,West Indies,37,2,67,1,5,1,109,4,West Indies,bat,St Lucia,Australia,ICC World Twenty20,412700,B
973,1298154A,2022,Melbourne Cricket Ground,Ireland,England,59,1,74,4,24,5,157,10,England,field,Melbourne,Ireland,ICC Men's T20 World Cup,1298154,A
973,1298154B,2022,Melbourne Cricket Ground,England,Ireland,37,3,68,2,0,0,105,5,England,field,Melbourne,Ireland,ICC Men's T20 World Cup,1298154,B
974,1298140A,2022,GMHBA Stadium,Sri Lanka,United Arab Emirates,52,0,69,5,31,2,152,7,United Arab Emirates,field,Geelong,Sri Lanka,ICC Men's T20 World Cup,1298140,A
974,1298140B,2022,GMHBA Stadium,United Arab Emirates,Sri Lanka,23,4,40,3,10,1,73,8,United Arab Emirates,field,Geelong,Sri Lanka,ICC Men's T20 World Cup,1298140,B
975,1279382A,2021,Happy Valley Ground,Estonia,Isle of Man,43,1,56,4,19,2,118,7,Estonia,bat,Episkopi,Isle of Man,Cyprus T20 Tri-Series,1279382,A
975,1279382B,2021,Happy Valley Ground,Isle of Man,Estonia,42,0,80,3,0,0,122,3,Estonia,bat,Episkopi,Isle of Man,Cyprus T20 Tri-Series,1279382,B
976,1172509A,2019,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Netherlands,Ireland,79,0,71,5,32,3,182,8,Ireland,field,Al Amarat,Ireland,Oman Quadrangular T20I Series,1172509,A
976,1172509B,2019,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,Netherlands,59,1,84,2,40,6,183,9,Ireland,field,Al Amarat,Ireland,Oman Quadrangular T20I Series,1172509,B
977,1298168A,2022,Adelaide Oval,Zimbabwe,Netherlands,20,2,78,4,19,3,117,9,Zimbabwe,bat,Adelaide,Netherlands,ICC Men's T20 World Cup,1298168,A
977,1298168B,2022,Adelaide Oval,Netherlands,Zimbabwe,35,1,80,3,5,1,120,5,Zimbabwe,bat,Adelaide,Netherlands,ICC Men's T20 World Cup,1298168,B
978,1185181A,2019,King George V Sports Ground,Guernsey,Germany,38,0,64,4,15,6,117,10,Germany,field,Castel,Germany,ICC Men's T20 World Cup Europe Region Final,1185181,A
978,1185181B,2019,King George V Sports Ground,Germany,Guernsey,35,1,72,3,12,0,119,4,Germany,field,Castel,Germany,ICC Men's T20 World Cup Europe Region Final,1185181,B
979,1186488A,2019,Kinrara Academy Oval,Thailand,Malaysia,30,1,72,2,11,4,113,7,Malaysia,field,Kuala Lumpur,Malaysia,Malaysia Tri-Nation T20I Series,1186488,A
979,1186488B,2019,Kinrara Academy Oval,Malaysia,Thailand,28,3,70,2,16,0,114,5,Malaysia,field,Kuala Lumpur,Malaysia,Malaysia Tri-Nation T20I Series,1186488,B
980,1273136A,2021,Gucherre Cricket Ground,Gibraltar,Malta,32,1,87,0,29,4,148,5,Malta,field,Albergaria,Malta,Portugal T20 Tri-Series,1273136,A
980,1273136B,2021,Gucherre Cricket Ground,Malta,Gibraltar,41,0,89,2,19,0,149,2,Malta,field,Albergaria,Malta,Portugal T20 Tri-Series,1273136,B
