,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner,event,match_id,innings_number
39,1286673B,2021,Sir Vivian Richards Stadium,Bermuda,United States of America,34,2,92,5,23,1,149,8,United States of America,bat,North Sound,United States of America,ICC Men's T20 World Cup Americas Region Qualifier,1286673,B
40,1272094A,2021,Shere Bangla National Stadium,Bangladesh,New Zealand,36,0,71,4,34,2,141,6,Bangladesh,bat,Dhaka,Bangladesh,New Zealand tour of Bangladesh,1272094,A
40,1272094B,2021,Shere Bangla National Stadium,New Zealand,Bangladesh,28,2,66,3,43,0,137,5,Bangladesh,bat,Dhaka,Bangladesh,New Zealand tour of Bangladesh,1272094,B
41,1310188A,2022,College Field,Jersey,Guernsey,56,1,65,3,57,0,178,4,Guernsey,field,St Peter Port,Jersey,Inter-Insular T20 Series,1310188,A
41,1310188B,2022,College Field,Guernsey,Jersey,38,2,71,2,32,2,141,6,Guernsey,field,St Peter Port,Jersey,Inter-Insular T20 Series,1310188,B
42,1283092A,2021,University of Lagos Cricket Oval,Sierra Leone,Nigeria,8,2,39,3,37,0,84,5,Sierra Leone,bat,Lagos,Nigeria,Sierra Leone tour of Nigeria,1283092,A
42,1283092B,2021,University of Lagos Cricket Oval,Nigeria,Sierra Leone,37,0,48,0,0,0,85,0,Sierra Leone,bat,Lagos,Nigeria,Sierra Leone tour of Nigeria,1283092,B
43,534235A,2012,Edgbaston,England,South Africa,50,2,68,3,0,0,118,5,South Africa,field,Birmingham,England,South Africa in England T20I Series,534235,A
43,534235B,2012,Edgbaston,South Africa,England,51,2,39,3,0,0,90,5,South Africa,field,Birmingham,England,South Africa in England T20I Series,534235,B
44,1185315A,2020,SuperSport Park,South Africa,England,64,0,110,3,48,3,222,6,South Africa,bat,Centurion,England,England tour of South Africa,1185315,A
44,1185315B,2020,SuperSport Park,England,South Africa,62,1,108,3,56,1,226,5,South Africa,bat,Centurion,England,England tour of South Africa,1185315,B
45,914223A,2016,Seddon Park,Pakistan,New Zealand,34,1,93,2,41,4,168,7,Pakistan,bat,Hamilton,New Zealand,Pakistan in New Zealand T20I Series,914223,A
45,914223B,2016,Seddon Park,New Zealand,Pakistan,59,0,89,0,23,0,171,0,Pakistan,bat,Hamilton,New Zealand,Pakistan in New Zealand T20I Series,914223,B
46,534208A,2012,Trent Bridge,West Indies,England,29,2,80,2,63,0,172,4,West Indies,bat,Nottingham,England,,534208,A
46,534208B,2012,Trent Bridge,England,West Indies,42,1,96,0,35,2,173,3,West Indies,bat,Nottingham,England,,534208,B
47,802327A,2014,P Sara Oval,Nepal,Hong Kong,17,4,19,3,36,2,72,9,Hong Kong,field,Colombo,Hong Kong,Hong Kong v Nepal T20I Series,802327,A
47,802327B,2014,P Sara Oval,Hong Kong,Nepal,12,2,38,4,23,1,73,7,Hong Kong,field,Colombo,Hong Kong,Hong Kong v Nepal T20I Series,802327,B
48,1185314A,2020,Kingsmead,England,South Africa,55,1,81,4,68,2,204,7,South Africa,field,Durban,England,England tour of South Africa,1185314,A
48,1185314B,2020,Kingsmead,South Africa,England,69,0,86,3,47,3,202,6,South Africa,field,Durban,England,England tour of South Africa,1185314,B
49,1283093A,2021,University of Lagos Cricket Oval,Nigeria,Sierra Leone,17,1,69,7,4,2,90,10,Nigeria,bat,Lagos,Nigeria,Sierra Leone tour of Nigeria,1283093,A
49,1283093B,2021,University of Lagos Cricket Oval,Sierra Leone,Nigeria,17,4,50,1,4,4,71,9,Nigeria,bat,Lagos,Nigeria,Sierra Leone tour of Nigeria,1283093,B
50,1310162A,2022,Desert Springs Cricket Ground,Spain,Norway,21,2,75,1,33,3,129,6,Spain,bat,Almeria,Spain,Spain Triangular T20I Series,1310162,A
50,1310162B,2022,Desert Springs Cricket Ground,Norway,Spain,23,2,34,5,21,1,78,8,Spain,bat,Almeria,Spain,Spain Triangular T20I Series,1310162,B
51,1272095A,2021,Shere Bangla National Stadium,New Zealand,Bangladesh,40,1,48,2,40,0,128,3,New Zealand,bat,Dhaka,New Zealand,New Zealand tour of Bangladesh,1272095,A
51,1272095B,2021,Shere Bangla National Stadium,Bangladesh,New Zealand,30,2,36,4,10,2,76,8,New Zealand,bat,Dhaka,New Zealand,New Zealand tour of Bangladesh,1272095,B
52,1286672A,2021,Coolidge Cricket Ground,Belize,Panama,30,2,75,2,38,4,143,8,Belize,bat,Coolidge,Belize,ICC Men's T20 World Cup Americas Region Qualifier,1286672,A
52,1286672B,2021,Coolidge Cricket Ground,Panama,Belize,39,1,56,4,36,3,131,8,Belize,bat,Coolidge,Belize,ICC Men's T20 World Cup Americas Region Qualifier,1286672,B
53,1203678A,2020,Warner Park,Ireland,West Indies,61,1,61,6,16,2,138,9,West Indies,field,Basseterre,West Indies,Ireland tour of West Indies,1203678,A
53,1203678B,2020,Warner Park,West Indies,Ireland,57,0,83,1,0,0,140,1,West Indies,field,Basseterre,West Indies,Ireland tour of West Indies,1203678,B
54,1310176A,2022,Marsa Sports Club,Malta,Czech Republic,56,1,80,1,28,5,164,7,Czech Republic,field,Marsa,Malta,Valletta Cup,1310176,A
54,1310176B,2022,Marsa Sports Club,Czech Republic,Malta,54,1,67,5,41,2,162,8,Czech Republic,field,Marsa,Malta,Valletta Cup,1310176,B
55,1283050A,2021,Gahanga International Cricket Stadium. Rwanda,Cameroon,Sierra Leone,30,4,38,2,21,2,89,8,Cameroon,bat,Kigali City,Sierra Leone,ICC Men's T20 World Cup Sub Regional Africa Qualifier,1283050,A
55,1283050B,2021,Gahanga International Cricket Stadium. Rwanda,Sierra Leone,Cameroon,30,3,60,1,0,0,90,4,Cameroon,bat,Kigali City,Sierra Leone,ICC Men's T20 World Cup Sub Regional Africa Qualifier,1283050,B
56,1283044A,2021,Gahanga International Cricket Stadium. Rwanda,Mozambique,Cameroon,61,0,117,2,31,3,209,5,Cameroon,field,Kigali City,Mozambique,ICC Men's T20 World Cup Sub Regional Africa Qualifier,1283044,A
56,1283044B,2021,Gahanga International Cricket Stadium. Rwanda,Cameroon,Mozambique,24,6,14,3,0,0,38,9,Cameroon,field,Kigali City,Mozambique,ICC Men's T20 World Cup Sub Regional Africa Qualifier,1283044,B
57,1327269A,2022,Dubai International Cricket Stadium,Sri Lanka,Afghanistan,41,1,36,6,28,1,105,8,Afghanistan,field,Dubai,Afghanistan,Asia Cup,1327269,A
57,1327269B,2022,Dubai International Cricket Stadium,Afghanistan,Sri Lanka,83,0,23,2,0,0,106,2,Afghanistan,field,Dubai,Afghanistan,Asia Cup,1327269,B
58,1299593A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Nepal,43,3,64,1,28,2,135,6,Nepal,field,Al Amarat,Nepal,Oman Quadrangular T20I Series,1299593,A
58,1299593B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,Oman,33,2,72,1,32,1,137,4,Nepal,field,Al Amarat,Nepal,Oman Quadrangular T20I Series,1299593,B
59,1144992A,2018,Sydney Cricket Ground,Australia,India,49,0,71,3,44,1,164,4,Australia,bat,,India,India tour of Australia,1144992,A
59,1144992B,2018,Sydney Cricket Ground,India,Australia,67,0,58,3,43,0,168,3,Australia,bat,,India,India tour of Australia,1144992,B
60,1199517A,2019,ICC Academy,Namibia,Scotland,40,1,71,2,48,2,159,5,Namibia,bat,Dubai,Namibia,ICC Men's T20 World Cup Qualifier,1199517,A
60,1199517B,2019,ICC Academy,Scotland,Namibia,34,2,64,4,37,2,135,8,Namibia,bat,Dubai,Namibia,ICC Men's T20 World Cup Qualifier,1199517,B
61,1275275A,2021,Moara Vlasiei Cricket Ground,Romania,Malta,66,1,95,2,41,5,202,8,Malta,field,Ilfov County,Romania,Continental Cup,1275275,A
61,1275275B,2021,Moara Vlasiei Cricket Ground,Malta,Romania,60,0,66,4,40,4,166,8,Malta,field,Ilfov County,Romania,Continental Cup,1275275,B
62,1199503A,2019,ICC Academy,Bermuda,Papua New Guinea,33,3,51,3,5,2,89,8,Papua New Guinea,field,Dubai,Papua New Guinea,ICC Men's T20 World Cup Qualifier,1199503,A
62,1199503B,2019,ICC Academy,Papua New Guinea,Bermuda,47,0,43,0,0,0,90,0,Papua New Guinea,field,Dubai,Papua New Guinea,ICC Men's T20 World Cup Qualifier,1199503,B
63,1322339A,2022,Hagley Oval,Bangladesh,Pakistan,41,2,97,1,35,3,173,6,Bangladesh,bat,Christchurch,Pakistan,New Zealand T20I Tri-Series,1322339,A
63,1322339B,2022,Hagley Oval,Pakistan,Bangladesh,46,0,91,2,40,1,177,3,Bangladesh,bat,Christchurch,Pakistan,New Zealand T20I Tri-Series,1322339,B
64,1303308A,2022,The Village,India,Ireland,54,1,129,0,42,6,225,7,India,bat,Dublin,India,India tour of Ireland,1303308,A
64,1303308B,2022,The Village,Ireland,India,73,1,101,3,47,1,221,5,India,bat,Dublin,India,India tour of Ireland,1303308,B
65,1130746A,2018,Shere Bangla National Stadium,Bangladesh,Sri Lanka,71,1,83,1,39,2,193,4,Bangladesh,bat,Dhaka,Sri Lanka,Sri Lanka tour of Bangladesh,1130746,A
65,1130746B,2018,Shere Bangla National Stadium,Sri Lanka,Bangladesh,67,1,114,3,13,0,194,4,Bangladesh,bat,Dhaka,Sri Lanka,Sri Lanka tour of Bangladesh,1130746,B
66,1072207A,2016,Dubai International Cricket Stadium,United Arab Emirates,Afghanistan,56,1,64,1,59,1,179,3,United Arab Emirates,bat,,Afghanistan,Afghanistan in United Arab Emirates T20I Series,1072207,A
66,1072207B,2016,Dubai International Cricket Stadium,Afghanistan,United Arab Emirates,55,1,85,4,43,0,183,5,United Arab Emirates,bat,,Afghanistan,Afghanistan in United Arab Emirates T20I Series,1072207,B
67,546477A,2012,Dubai International Cricket Stadium,Afghanistan,Ireland,55,2,63,2,34,3,152,7,Afghanistan,bat,,Ireland,ICC World Twenty20 Qualifier,546477,A
67,546477B,2012,Dubai International Cricket Stadium,Ireland,Afghanistan,62,2,75,2,19,1,156,5,Afghanistan,bat,,Ireland,ICC World Twenty20 Qualifier,546477,B
68,1299578A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Germany,Canada,31,1,72,3,28,1,131,5,Canada,field,Al Amarat,Canada,ICC Men's T20 World Cup Qualifier A,1299578,A
